ODE,Epsilon,N,Mesh,Method,Max Error
ODE 2,0.0001,512,bakhvalov,upwind,0.007228791430609949
ODE 2,1e-05,8,uniform,central,0.5622912815542184
ODE 2,1e-05,8,uniform,forward,18753.499519783647
ODE 2,1e-05,8,uniform,backward,18753.49951978365
ODE 2,1e-05,8,uniform,upwind,3.999840006400426e-05
ODE 2,1e-05,8,shishkin,central,0.03512078379350877
ODE 2,1e-05,8,shishkin,forward,12499.065572684454
ODE 2,1e-05,8,shishkin,backward,12499.065572684449
ODE 2,1e-05,8,shishkin,upwind,0.18818379846689756
ODE 2,1e-05,8,bakhvalov,central,0.21234307207397818
ODE 2,1e-05,8,bakhvalov,forward,22226.862983052477
ODE 2,1e-05,8,bakhvalov,backward,22226.862983162147
ODE 2,1e-05,8,bakhvalov,upwind,0.28293554774701457
ODE 2,1e-05,16,uniform,central,0.7651004774019031
ODE 2,1e-05,16,uniform,forward,10944.66452737939
ODE 2,1e-05,16,uniform,backward,10944.664527379386
ODE 2,1e-05,16,uniform,upwind,7.999360051195907e-05
ODE 2,1e-05,16,shishkin,central,0.118709363952672
ODE 2,1e-05,16,shishkin,forward,18751.420464476196
ODE 2,1e-05,16,shishkin,backward,18751.4204645283
ODE 2,1e-05,16,shishkin,upwind,0.2047374558152073
ODE 2,1e-05,16,bakhvalov,central,0.22445906916990982
ODE 2,1e-05,16,bakhvalov,forward,16003.745891704535
ODE 2,1e-05,16,bakhvalov,backward,16003.745891598539
ODE 2,1e-05,16,bakhvalov,upwind,0.18840888074792728
ODE 2,1e-05,32,uniform,central,0.8777445676309737
ODE 2,1e-05,32,uniform,forward,5874.427450042955
ODE 2,1e-05,32,uniform,backward,5874.4274500429565
ODE 2,1e-05,32,uniform,upwind,0.00015997440409534473
ODE 2,1e-05,32,shishkin,central,0.2186783401903431
ODE 2,1e-05,32,shishkin,forward,10943.149286128404
ODE 2,1e-05,32,shishkin,backward,10943.149286128462
ODE 2,1e-05,32,shishkin,upwind,0.18929503825860758
ODE 2,1e-05,32,bakhvalov,central,0.24804116122644262
ODE 2,1e-05,32,bakhvalov,forward,10943.910634645203
ODE 2,1e-05,32,bakhvalov,backward,10943.910634730542
ODE 2,1e-05,32,bakhvalov,upwind,0.10198332085116915
ODE 2,1e-05,64,uniform,central,0.9360384482476213
ODE 2,1e-05,64,uniform,forward,3058.2200437346874
ODE 2,1e-05,64,uniform,backward,3058.220043734688
ODE 2,1e-05,64,uniform,upwind,0.00031989763275751764
ODE 2,1e-05,64,shishkin,central,0.23383010743286242
ODE 2,1e-05,64,shishkin,forward,0.3932652622355599
ODE 2,1e-05,64,shishkin,backward,0.39326526223948416
ODE 2,1e-05,64,shishkin,upwind,0.13671289187132235
ODE 2,1e-05,64,bakhvalov,central,0.24945580372649964
ODE 2,1e-05,64,bakhvalov,forward,6644.355745259345
ODE 2,1e-05,64,bakhvalov,backward,6644.35574419567
ODE 2,1e-05,64,bakhvalov,upwind,0.052640528554631194
ODE 2,1e-05,128,uniform,central,0.9640062858484383
ODE 2,1e-05,128,uniform,forward,1599.8548946440117
ODE 2,1e-05,128,uniform,backward,1599.8548946440096
ODE 2,1e-05,128,uniform,upwind,0.0006395906619763353
ODE 2,1e-05,128,shishkin,central,0.2453817058999443
ODE 2,1e-05,128,shishkin,forward,3.750968727445147
ODE 2,1e-05,128,shishkin,backward,3.75100331409623
ODE 2,1e-05,128,shishkin,upwind,0.09016565304417584
ODE 2,1e-05,128,bakhvalov,central,0.24964737721636082
ODE 2,1e-05,128,bakhvalov,forward,3585.315136794287
ODE 2,1e-05,128,bakhvalov,backward,3585.3151335219695
ODE 2,1e-05,128,bakhvalov,upwind,0.02778513270448657
ODE 2,1e-05,256,uniform,central,0.9743672747113694
ODE 2,1e-05,256,uniform,forward,892.9847906559432
ODE 2,1e-05,256,uniform,backward,892.984790655947
ODE 2,1e-05,256,uniform,upwind,0.0012783636944710775
ODE 2,1e-05,256,shishkin,central,0.24912272537024055
ODE 2,1e-05,256,shishkin,forward,16.95799488433476
ODE 2,1e-05,256,shishkin,backward,16.95803800718681
ODE 2,1e-05,256,shishkin,upwind,0.05599843029939833
ODE 2,1e-05,256,bakhvalov,central,0.2498975202803589
ODE 2,1e-05,256,bakhvalov,forward,1846.4401846178912
ODE 2,1e-05,256,bakhvalov,backward,1846.4401946792796
ODE 2,1e-05,256,bakhvalov,upwind,0.014314189065611604
ODE 2,1e-05,512,uniform,central,0.9720489772619006
ODE 2,1e-05,512,uniform,forward,1860.0700754504098
ODE 2,1e-05,512,uniform,backward,1860.0700754504094
ODE 2,1e-05,512,uniform,upwind,0.002553463134375998
ODE 2,1e-05,512,shishkin,central,0.2496900836156189
ODE 2,1e-05,512,shishkin,forward,4.718622071335607
ODE 2,1e-05,512,shishkin,backward,4.718465707470539
ODE 2,1e-05,512,shishkin,upwind,0.03315401385648037
ODE 2,1e-05,512,bakhvalov,central,0.24998511228697085
ODE 2,1e-05,512,bakhvalov,forward,701.6691428313179
ODE 2,1e-05,512,bakhvalov,backward,701.6694035300771
ODE 2,1e-05,512,bakhvalov,upwind,0.007229837594791344
ODE 2,1e-06,8,uniform,central,0.5624791253155792
ODE 2,1e-06,8,uniform,forward,187503.4999516229
ODE 2,1e-06,8,uniform,backward,187503.49995162294
ODE 2,1e-06,8,uniform,upwind,3.999984000064e-06
ODE 2,1e-06,8,shishkin,central,0.03513950906029746
ODE 2,1e-06,8,shishkin,forward,124999.06557482597
ODE 2,1e-06,8,shishkin,backward,124999.06556788714
ODE 2,1e-06,8,shishkin,upwind,0.1881870571588877
ODE 2,1e-06,8,bakhvalov,central,0.2123467123000873
ODE 2,1e-06,8,bakhvalov,forward,222226.8619254772
ODE 2,1e-06,8,bakhvalov,backward,222226.86192547786
ODE 2,1e-06,8,bakhvalov,upwind,0.28295022722767543
ODE 2,1e-06,16,uniform,central,0.7655725328993841
ODE 2,1e-06,16,uniform,forward,109382.16645279448
ODE 2,1e-06,16,uniform,backward,109382.1664527945
ODE 2,1e-06,16,uniform,upwind,7.999936000511995e-06
ODE 2,1e-06,16,shishkin,central,0.11870584244267203
ODE 2,1e-06,16,shishkin,forward,187501.42054959215
ODE 2,1e-06,16,shishkin,backward,187501.4205443881
ODE 2,1e-06,16,shishkin,upwind,0.2047401514474198
ODE 2,1e-06,16,bakhvalov,central,0.2244640926122649
ODE 2,1e-06,16,bakhvalov,forward,160003.74681318042
ODE 2,1e-06,16,bakhvalov,backward,160003.74681033552
ODE 2,1e-06,16,bakhvalov,upwind,0.188422230393975
ODE 2,1e-06,32,uniform,central,0.8787900152109435
ODE 2,1e-06,32,uniform,forward,58608.81952704777
ODE 2,1e-06,32,uniform,backward,58608.819527047846
ODE 2,1e-06,32,uniform,upwind,1.5999744004095932e-05
ODE 2,1e-06,32,shishkin,central,0.21868218303799566
ODE 2,1e-06,32,shishkin,forward,109380.65029490317
ODE 2,1e-06,32,shishkin,backward,109380.65029642243
ODE 2,1e-06,32,shishkin,upwind,0.1892974642638978
ODE 2,1e-06,32,bakhvalov,central,0.2480472588170152
ODE 2,1e-06,32,bakhvalov,forward,109381.4573610022
ODE 2,1e-06,32,bakhvalov,backward,109381.45735835811
ODE 2,1e-06,32,bakhvalov,upwind,0.10198759953778894
ODE 2,1e-06,64,uniform,central,0.9382324706457593
ODE 2,1e-06,64,uniform,forward,30304.45500890034
ODE 2,1e-06,64,uniform,backward,30304.455008900368
ODE 2,1e-06,64,uniform,upwind,3.199897603276695e-05
ODE 2,1e-06,64,shishkin,central,0.23383539338236697
ODE 2,1e-06,64,shishkin,forward,0.3932732718847569
ODE 2,1e-06,64,shishkin,backward,0.3932732719024926
ODE 2,1e-06,64,shishkin,upwind,0.13671461259188566
ODE 2,1e-06,64,bakhvalov,central,0.24946201482411198
ODE 2,1e-06,64,bakhvalov,forward,66338.92640164735
ODE 2,1e-06,64,bakhvalov,backward,66338.92641722562
ODE 2,1e-06,64,bakhvalov,upwind,0.05264179672334818
ODE 2,1e-06,128,uniform,central,0.9684942065373199
ODE 2,1e-06,128,uniform,forward,15443.746984651933
ODE 2,1e-06,128,uniform,backward,15443.74698465193
ODE 2,1e-06,128,uniform,upwind,6.399590426212723e-05
ODE 2,1e-06,128,shishkin,central,0.2453876206948038
ODE 2,1e-06,128,shishkin,forward,3306.3390404951583
ODE 2,1e-06,128,shishkin,backward,3306.9537870784984
ODE 2,1e-06,128,shishkin,upwind,0.09016682308883162
ODE 2,1e-06,128,bakhvalov,central,0.24965358026404516
ODE 2,1e-06,128,bakhvalov,forward,35690.23341236646
ODE 2,1e-06,128,bakhvalov,backward,35690.23340979404
ODE 2,1e-06,128,bakhvalov,upwind,0.027785625968954397
ODE 2,1e-06,256,uniform,central,0.9834245218674076
ODE 2,1e-06,256,uniform,forward,7877.446516117053
ODE 2,1e-06,256,uniform,backward,7877.446516117035
ODE 2,1e-06,256,uniform,upwind,0.0001279836180968836
ODE 2,1e-06,256,shishkin,central,0.24912889321045956
ODE 2,1e-06,256,shishkin,forward,7982.1066550711985
ODE 2,1e-06,256,shishkin,backward,7984.640272108626
ODE 2,1e-06,256,shishkin,upwind,0.055999163836352395
ODE 2,1e-06,256,bakhvalov,central,0.24990376376502563
ODE 2,1e-06,256,bakhvalov,forward,18558.018140973836
ODE 2,1e-06,256,bakhvalov,backward,18558.01812444806
ODE 2,1e-06,256,bakhvalov,upwind,0.014314407390688566
ODE 2,1e-06,512,uniform,central,0.9901688259130896
ODE 2,1e-06,512,uniform,forward,4138.0696534125545
ODE 2,1e-06,512,uniform,backward,4138.069653412547
ODE 2,1e-06,512,uniform,upwind,0.0002559344807729221
ODE 2,1e-06,512,shishkin,central,0.24969629241121383
ODE 2,1e-06,512,shishkin,forward,2732.6764863584717
ODE 2,1e-06,512,shishkin,backward,2742.2557812492932
ODE 2,1e-06,512,shishkin,upwind,0.03315445211449558
ODE 2,1e-06,512,bakhvalov,central,0.24999134887400698
ODE 2,1e-06,512,bakhvalov,forward,9577.867511008115
ODE 2,1e-06,512,bakhvalov,backward,9577.87228272307
ODE 2,1e-06,512,bakhvalov,upwind,0.007229942247969745
ODE 2,1e-07,8,uniform,central,0.5624979125031557
ODE 2,1e-07,8,uniform,forward,1875003.4998873656
ODE 2,1e-07,8,uniform,backward,1875003.4998873663
ODE 2,1e-07,8,uniform,upwind,3.99999840000064e-07
ODE 2,1e-07,8,shishkin,central,0.03514138168239038
ODE 2,1e-07,8,shishkin,forward,1249999.0664312278
ODE 2,1e-07,8,shishkin,backward,1249999.0657373394
ODE 2,1e-07,8,shishkin,upwind,0.18818738307854874
ODE 2,1e-07,8,bakhvalov,central,0.2123470763007799
ODE 2,1e-07,8,bakhvalov,forward,2222226.861701645
ODE 2,1e-07,8,bakhvalov,backward,2222226.8622499015
ODE 2,1e-07,8,bakhvalov,upwind,0.2829516952486125
ODE 2,1e-07,16,uniform,central,0.7656197531414944
ODE 2,1e-07,16,uniform,forward,1093757.1666582536
ODE 2,1e-07,16,uniform,backward,1093757.1666582543
ODE 2,1e-07,16,uniform,upwind,7.999993600005119e-07
ODE 2,1e-07,16,shishkin,central,0.11870549025064984
ODE 2,1e-07,16,shishkin,forward,1875001.42066431
ODE 2,1e-07,16,shishkin,backward,1875001.4211847265
ODE 2,1e-07,16,shishkin,upwind,0.20474042100543788
ODE 2,1e-07,16,bakhvalov,central,0.22446459497827026
ODE 2,1e-07,16,bakhvalov,forward,1600003.7462274206
ODE 2,1e-07,16,bakhvalov,backward,1600003.7465827414
ODE 2,1e-07,16,bakhvalov,upwind,0.18842356547317185
ODE 2,1e-07,32,uniform,central,0.8788946258552378
ODE 2,1e-07,32,uniform,forward,585952.5712402611
ODE 2,1e-07,32,uniform,backward,585952.5712402603
ODE 2,1e-07,32,uniform,upwind,1.5999974400040958e-06
ODE 2,1e-07,32,shishkin,central,0.21868256731265645
ODE 2,1e-07,32,shishkin,forward,1093755.6503782626
ODE 2,1e-07,32,shishkin,backward,1093755.6503782624
ODE 2,1e-07,32,shishkin,upwind,0.18929770686208433
ODE 2,1e-07,32,bakhvalov,central,0.2480478685730728
ODE 2,1e-07,32,bakhvalov,forward,1093756.4619993158
ODE 2,1e-07,32,bakhvalov,backward,1093756.4620065864
ODE 2,1e-07,32,bakhvalov,upwind,0.10198802745094646
ODE 2,1e-07,64,uniform,central,0.9384521505072689
ODE 2,1e-07,64,uniform,forward,302765.4067499876
ODE 2,1e-07,64,uniform,backward,302765.4067499877
ODE 2,1e-07,64,uniform,upwind,3.1999897600327683e-06
ODE 2,1e-07,64,shishkin,central,0.23383592200808728
ODE 2,1e-07,64,shishkin,forward,0.39327411031147835
ODE 2,1e-07,64,shishkin,backward,0.3932741116667026
ODE 2,1e-07,64,shishkin,upwind,0.13671478467265602
ODE 2,1e-07,64,bakhvalov,central,0.24946263592997606
ODE 2,1e-07,64,bakhvalov,forward,663277.770685924
ODE 2,1e-07,64,bakhvalov,backward,663277.7710707809
ODE 2,1e-07,64,bakhvalov,upwind,0.05264192355213149
ODE 2,1e-07,128,uniform,central,0.9689441357033294
ODE 2,1e-07,128,uniform,forward,153871.59698762913
ODE 2,1e-07,128,uniform,backward,153871.59698762887
ODE 2,1e-07,128,uniform,upwind,6.3999590402621425e-06
ODE 2,1e-07,128,shishkin,central,0.2453882121714709
ODE 2,1e-07,128,shishkin,forward,279784.8093186996
ODE 2,1e-07,128,shishkin,backward,279338.43064320466
ODE 2,1e-07,128,shishkin,upwind,0.09016694009275927
ODE 2,1e-07,128,bakhvalov,central,0.2496542005720762
ODE 2,1e-07,128,bakhvalov,forward,356678.4965097344
ODE 2,1e-07,128,bakhvalov,backward,356678.49809474254
ODE 2,1e-07,128,bakhvalov,upwind,0.02778567530466719
ODE 2,1e-07,256,uniform,central,0.9843348372240739
ODE 2,1e-07,256,uniform,forward,77641.55249042514
ODE 2,1e-07,256,uniform,backward,77641.55249042502
ODE 2,1e-07,256,uniform,upwind,1.2799836162097125e-05
ODE 2,1e-07,256,shishkin,central,0.24912950999084238
ODE 2,1e-07,256,shishkin,forward,152397.78305355116
ODE 2,1e-07,256,shishkin,backward,152601.71057218473
ODE 2,1e-07,256,shishkin,upwind,0.05599923720454586
ODE 2,1e-07,256,bakhvalov,central,0.2499043881133535
ODE 2,1e-07,256,bakhvalov,forward,185170.43080190028
ODE 2,1e-07,256,bakhvalov,backward,185170.44800942676
ODE 2,1e-07,256,bakhvalov,upwind,0.014314429224697
ODE 2,1e-07,512,uniform,central,0.9919991780755362
ODE 2,1e-07,512,uniform,forward,39164.085023765554
ODE 2,1e-07,512,uniform,backward,39164.08502376554
ODE 2,1e-07,512,uniform,upwind,2.559934465677679e-05
ODE 2,1e-07,512,shishkin,central,0.2496969132899055
ODE 2,1e-07,512,shishkin,forward,75683.76382032018
ODE 2,1e-07,512,shishkin,backward,76408.24835759893
ODE 2,1e-07,512,shishkin,upwind,0.0331544959401428
ODE 2,1e-07,512,bakhvalov,central,0.2499919725296837
ODE 2,1e-07,512,bakhvalov,forward,95327.24802749256
ODE 2,1e-07,512,bakhvalov,backward,95327.38048950552
ODE 2,1e-07,512,bakhvalov,upwind,0.007229952713671328
